AIRPORT,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_STATE_NAME,LAT_DEGREES,LATITUDE,LON_DEGREES,LONGITUDE
01A,"Afognak Lake, AK",United States,Alaska,58,58.10944444,152,-152.9066667
03A,"Granite Mountain, AK",United States,Alaska,65,65.54805556,161,-161.0716667
04A,"Lik, AK",United States,Alaska,68,68.08333333,163,-163.1666667
05A,"Little Squaw, AK",United States,Alaska,67,67.57,148,-148.1838889
06A,"Kizhuyak, AK",United States,Alaska,57,57.74527778,152,-152.8827778
07A,"Klawock, AK",United States,Alaska,55,55.55472222,133,-133.1016667
08A,"Elizabeth Island, AK",United States,Alaska,59,59.15694444,151,-151.8291667
09A,"Homer, AK",United States,Alaska,59,59.36277778,153,-153.4305556
1B1,"Hudson, NY",United States,New York,42,42.29138889,73,-73.71027778
1B1,"Hudson, NY",United States,New York,42,42.28888889,73,-73.71027778
1G4,"Peach Springs, AZ",United States,Arizona,35,35.98611111,113,-113.8169444
1G4,"Peach Springs, AZ",United States,Arizona,35,35.99027778,113,-113.8163889
1G4,"Peach Springs, AZ",United States,Arizona,35,35.99027778,113,-113.8163889
1G4,"Peach Springs, AZ",United States,Arizona,35,35.98611111,113,-113.8169444
1N7,"Blairstown, NJ",United States,New Jersey,40,40.97111111,74,-74.9975
1NY,"Penn Yan, NY",United States,New York,42,42.63694444,77,-77.05277778
1NY,"Penn Yan, NY",United States,New York,42,42.63722222,77,-77.05277778
1NY,"Penn Yan, NY",United States,New York,42,42.63694444,77,-77.05277778
6B0,"Middlebury, VT",United States,Vermont,43,43.98472222,73,-73.09583333
6B0,"Middlebury, VT",United States,Vermont,43,43.98472222,73,-73.09583333
6B0,"Middlebury, VT",United States,Vermont,43,43.98555556,73,-73.09555556
6B0,"Middlebury, VT",United States,Vermont,43,43.98555556,73,-73.09555556
7AK,"Akun, AK",United States,Alaska,54,54.14472222,165,-165.6041667
8F3,"Crosbyton, TX",United States,Texas,33,33.62388889,101,-101.2408333
A01,"Fairbanks/Ft. Wainwright, AK",United States,Alaska,64,64.36416667,147,-147.3613889
A01,"Fairbanks/Ft. Wainwright, AK",United States,Alaska,64,64.36361111,147,-147.3638889
A02,"Deadmans Bay, AK",United States,Alaska,57,57.06666667,153,-153.9377778
A03,"Hallo Bay, AK",United States,Alaska,58,58.4575,154,-154.0233333
A04,"Red Lake, AK",United States,Alaska,57,57.27722222,154,-154.3422222
A05,"Shell Lake, AK",United States,Alaska,61,61.96388889,151,-151.5558333
A06,"Kougarok, AK",United States,Alaska,65,65.65555556,165,-165.3563889
A07,"Selawik, AK",United States,Alaska,66,66.76611111,160,-160.1527778
A07,"Selawik, AK",United States,Alaska,66,66.76583333,160,-160.1525
A08,"Pillar Bay, AK",United States,Alaska,56,56.59805556,134,-134.2427778
A09,"Johnstone Point, AK",United States,Alaska,60,60.48166667,146,-146.5841667
A09,"Johnstone Point, AK",United States,Alaska,60,60.48222222,146,-146.5822222
A09,"Johnstone Point, AK",United States,Alaska,60,60.48166667,146,-146.5841667
A09,"Johnstone Point, AK",United States,Alaska,60,60.48222222,146,-146.5822222
A11,"Bell Creek, AK",United States,Alaska,60,60.78388889,159,-159.5402778
A12,"Cinnabar, AK",United States,Alaska,60,60.78527778,158,-158.8644444
A13,"Mountaintop Mine, AK",United States,Alaska,61,61.39027778,157,-157.9955556
A14,"Whitebear, AK",United States,Alaska,61,61.18888889,159,-159.8583333
A15,"Puviaq, AK",United States,Alaska,70,70.71555556,154,-154.4069444
A15,"Puviaq, AK",United States,Alaska,70,70.71861111,154,-154.3883333
A16,"Arley Lake, AK",United States,Alaska,70,70.74694444,155,-155.3608333
A17,"Port Vita, AK",United States,Alaska,58,58.06555556,153,-153.0725
A18,"Kantishna, AK",United States,Alaska,63,63.54111111,150,-150.995
A18,"Kantishna, AK",United States,Alaska,63,63.54166667,150,-150.9938889
A18,"Kantishna, AK",United States,Alaska,63,63.54111111,150,-150.995
A18,"Kantishna, AK",United States,Alaska,63,63.54166667,150,-150.9938889
A1K,"Deadhorse1, AK",United States,Alaska,70,70.13611111,146,-146.29
A1L,"Cullman, AL",United States,Alabama,34,34.26861111,86,-86.85805556
A20,"Alpine, AK",United States,Alaska,70,70.34416667,150,-150.9447222
A21,"Serpentine, AK",United States,Alaska,65,65.85138889,164,-164.7027778
A22,"Driftwood Bay, AK",United States,Alaska,53,53.97277778,166,-166.8569444
A23,"Bradley Lake, AK",United States,Alaska,59,59.77611111,151,-151.9636111
A24,"Chilkat Lake, AK",United States,Alaska,59,59.33166667,135,-135.8966667
A25,"Nugget Creek, AK",United States,Alaska,59,59.28833333,136,-136.1738889
A26,"Ivotuk, AK",United States,Alaska,68,68.48333333,155,-155.7333333
A27,"Pogo Mines, AK",United States,Alaska,64,64.44,144,-144.9363889
A28,"Ayakulik River, AK",United States,Alaska,57,57.25388889,154,-154.4222222
A29,"Kiluda Bay, AK",United States,Alaska,57,57.32305556,153,-153.1494444
A2K,"Bartletts, AK",United States,Alaska,58,58.23305556,157,-157.3663889
A2L,"Fort Payne, AL",United States,Alabama,34,34.47361111,85,-85.72138889
A30,"Terror Lake, AK",United States,Alaska,57,57.96388889,153,-153.0583333
A31,"Selief Bay, AK",United States,Alaska,58,58.98277778,153,-153.1833333
A34,"Laura Lake, AK",United States,Alaska,58,58.36194444,152,-152.3122222
A35,"Kaktovik, AK",United States,Alaska,70,70.17277778,146,-146.8361111
A36,"Deep Bay, AK",United States,Alaska,55,55.56027778,131,-131.6555556
A37,"Kako, AK",United States,Alaska,61,61.89888889,161,-161.4397222
A37,"Kako, AK",United States,Alaska,61,61.89888889,161,-161.4380556
A38,"Molly Creek, AK",United States,Alaska,64,64.09722222,143,-143.2666667
A39,"Ptarmigan Lake, AK",United States,Alaska,61,61.86611111,141,-141.1597222
A3K,"Smith Bay, AK",United States,Alaska,70,70.76583333,154,-154.2308333
A40,"Cape Simpson, AK",United States,Alaska,71,71.05694444,154,-154.7283333
A41,"Kogru River, AK",United States,Alaska,70,70.57472222,152,-152.2588889
A41,"Kogru River, AK",United States,Alaska,70,70.57611111,152,-152.2711111
A42,"Teshepkuk Lake, AK",United States,Alaska,70,70.35833333,153,-153.1966667
A43,"Kodiak Island, AK",United States,Alaska,57,57.78083333,152,-152.3911111
A45,"Lake Florence, AK",United States,Alaska,57,57.81666667,134,-134.5833333
A46,"Lake Hasselborg, AK",United States,Alaska,57,57.7,134,-134.2666667
A47,"Distin Lake, AK",United States,Alaska,57,57.61666667,134,-134.3666667
A48,"Port Hobron, AK",United States,Alaska,57,57.15,153,-153.15
A49,"Mooseville Airstrip, AK",United States,Alaska,70,70.28444444,152,-152.2119444
A4K,"Dune Lake, AK",United States,Alaska,64,64.42138889,149,-149.8944444
A50,"Big Bay, AK",United States,Alaska,58,58.5625,152,-152.5961111
A51,"Wien Lake, AK",United States,Alaska,64,64.35277778,151,-151.275
A52,"Silver Salmon Creek, AK",United States,Alaska,59,59.96388889,152,-152.6822222
A53,"Blear Lake, AK",United States,Alaska,64,64.33333333,147,-147.5
A54,"Cannery Bay, AK",United States,Alaska,53,53.68333333,166,-166.75
A56,"Bear Lake, AK",United States,Alaska,56,56.03666667,160,-160.2661111
A57,"International Seafoods, AK",United States,Alaska,58,58.26666667,157,-157.5333333
A58,"Cosna River, AK",United States,Alaska,64,64.5,151,-151.6666667
A59,"Ivatuk, AK",United States,Alaska,68,68.48777778,155,-155.7575
A5K,"Paxson, AK",United States,Alaska,63,63.02444444,145,-145.5005556
A5K,"Paxson, HI",United States,Hawaii,63,63.02444444,145,-145.5005556
A61,"Cape Sarichef, AK",United States,Alaska,54,54.58333333,164,-164.9125
A61,"Cape Sarichef, AK",United States,Alaska,54,54.5825,164,-164.9144444
A62,"Taylor Mountain Mine, AK",United States,Alaska,60,60.86777778,157,-157.3919444
A63,"Yukon Charley Rivvers, AK",United States,Alaska,65,65.31111111,143,-143.1352778
A63,"Yukon Charley Rivvers, AK",United States,Alaska,65,65.31138889,143,-143.1355556
A63,"Yukon Charley Rivvers, AK",United States,Alaska,65,65.31166667,143,-143.1341667
A63,"Yukon Charley Rivvers, AK",United States,Alaska,65,65.31138889,143,-143.1355556
A63,"Yukon Charley Rivvers, AK",United States,Alaska,65,65.31166667,143,-143.1341667
A65,"Karluk Portage, AK",United States,Alaska,57,57.53833333,154,-154.1644444
A66,"Hope, AK",United States,Alaska,60,60.90555556,149,-149.6238889
A66,"Hope, AK",United States,Alaska,60,60.90416667,149,-149.6238889
A66,"Hope, AK",United States,Alaska,60,60.90722222,149,-149.6227778
A66,"Hope, AK",United States,Alaska,60,60.90416667,149,-149.6238889
A66,"Hope, AK",United States,Alaska,60,60.90722222,149,-149.6227778
A67,"Viekoda Bay, AK",United States,Alaska,57,57.84944444,153,-153.1152778
A69,"Cold Bay, AK",United States,Alaska,55,55.74,162,-162.1252778
A6K,"Fairbanks1, AK",United States,Alaska,65,65.04472222,145,-145.4230556
A70,"Village Islands, AK",United States,Alaska,57,57.77416667,153,-153.5447222
A71,"Homer, AK",United States,Alaska,59,59.73833333,151,-151.03
A72,"Chinitna Bay, AK",United States,Alaska,59,59.83333333,152,-152.5847222
A73,"McKinley Park, AK",United States,Alaska,63,63.7325,148,-148.9105556
A74,"Nanwalek, AK",United States,Alaska,59,59.24111111,151,-151.8772222
A75,"Malina Bay, AK",United States,Alaska,58,58.17194444,152,-152.8941667
A76,"Red Fox Bay, AK",United States,Alaska,58,58.46444444,152,-152.5930556
A77,"Shearwater, AK",United States,Alaska,57,57.34333333,152,-152.8972222
A78,"Cape Simpson, AK",United States,Alaska,71,71.03,154,-154.4436111
